My帳票アドバンス,,,2026年5月18日(Mon) 17:01
レイアウト [ 0004：claude取り込み用 ]
実績期間 [ 2026年04月01日 ～ 2026年04月30日 ]
複数タグカウント [ する ]
日付基準 [ 預り日 ]

"","0001：本店","","","","","","","","","","","0002：東川口店","","","","","","","","","","","0003：新田店","","","","","","","","","","","0004：西友蒲生伊原店","","","","","","","","","","","0006：草加西口店","","","","","","","","","","","0008：蒲生店","","","","","","","","","","","0009：東川口2号店","","","","","","","","","","","0101：モールプラザ草加","","","","","","","","","","",""
"","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価",""
"2026年04月21日（火）","0","80,755","0","0","0","0","0","0","0","0","0","0","68,673","0","0","0","0","0","0","0","0","0","0","39,533","0","0","0","0","0","0","0","0","0","0","49,501","0","0","0","0","0","0","0","0","0","0","100,665","0","0","0","0","0","0","0","0","0","0","71,890","0","0","0","0","0","0","0","0","0","0","81,157","0","0","0","0","0","0","0","0","0","0","80,638","0","0","0","0","0","0","0","0","0",""
"2026年04月22日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月23日（木）","58,293","0","50","44","5","74","0","0","12","0","589","19,031","0","8","22","3","31","0","0","2","0","595","29,359","0","29","10","1","31","0","0","4","0","734","45,379","0","30","15","4","29","20","0","0","0","945","49,649","0","41","33","4","72","0","0","4","0","637","15,952","0","14","41","3","53","0","0","2","0","275","32,385","0","28","24","3","32","0","0","4","0","589","57,250","0","48","27","9","64","19","0","0","0","690",""
"2026年04月24日（金）","71,174","92,421","57","39","13","92","0","0","6","0","665","61,422","42,514","34","34","2","56","0","0","6","0","877","28,363","21,146","22","10","0","27","0","0","2","0","886","39,901","80,299","36","18","4","35","22","0","0","0","688","47,740","72,790","33","29","10","57","0","0","5","1","672","137,209","37,966","122","43","22","150","0","0","10","2","734","50,159","42,493","27","13","27","48","0","0","7","2","749","86,518","52,738","48","28","8","67","17","0","0","0","1,030",""
"2026年04月25日（土）","212,956","76,025","161","181","11","311","0","0","18","1","605","105,349","60,776","91","69","3","132","0","0","7","3","650","36,604","28,991","39","49","0","81","0","0","3","0","416","142,445","50,898","123","36","6","110","53","2","0","0","863","215,252","67,531","157","176","31","324","0","0","9","1","595","390,602","126,950","196","146","48","335","0","0","19","1","1,002","96,707","72,794","65","66","15","117","0","0","10","1","662","175,379","51,341","102","49","13","106","57","0","0","0","1,069",""
"2026年04月26日（日）","108,409","202,159","82","52","16","128","0","0","10","0","732","89,717","88,054","47","32","12","77","0","0","4","0","986","83,216","104,828","55","50","6","86","0","0","9","0","750","115,481","278,583","74","16","13","53","49","1","0","0","1,132","205,138","201,006","135","78","22","176","0","0","19","4","873","326,123","270,786","228","57","53","285","0","0","20","0","968","94,212","132,780","64","37","16","87","0","0","11","0","812","80,141","138,430","63","30","9","69","31","2","0","0","786",""
"2026年04月27日（月）","85,897","168,586","33","18","18","60","0","0","5","0","1,245","24,902","76,371","24","1","2","20","0","0","2","0","922","35,645","79,003","21","15","2","31","0","0","2","0","963","133,086","329,283","112","38","10","83","77","0","0","0","832","97,039","252,645","39","19","17","57","0","0","6","3","1,294","21,293","308,631","16","8","13","33","0","0","2","0","575","67,985","265,783","13","10","19","34","0","0","4","2","1,619","73,334","164,946","47","17","6","28","42","0","0","0","1,048",""
"2026年04月28日（火）","0","168,017","0","0","0","0","0","0","0","0","0","0","79,556","0","0","0","0","0","0","0","0","0","0","101,476","0","0","0","0","0","0","0","0","0","0","167,539","0","0","0","0","0","0","0","0","0","0","133,780","0","0","0","0","0","0","0","0","0","0","49,848","0","0","0","0","0","0","0","0","0","0","123,018","0","0","0","0","0","0","0","0","0","0","51,259","0","0","0","0","0","0","0","0","0",""
"2026年04月29日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月30日（木）","105,380","0","111","27","8","108","0","0","13","0","722","29,584","0","26","34","3","55","0","0","4","0","470","46,378","0","39","27","6","66","0","0","2","0","644","36,618","0","18","10","5","25","8","0","0","0","1,110","136,171","0","124","66","22","192","0","0","9","0","642","59,200","0","61","11","14","62","0","0","7","0","696","161,049","0","65","29","31","76","0","0","14","4","1,288","49,435","0","30","17","6","32","19","0","0","0","933",""
