商品マスタ一覧－店舗：0001 本店,,,,,,,作成日：2026年6月12日(Fri) 17:37
検索条件：商品コード[すべて] 商品名[すべて] 商品名ﾌﾘｶﾞﾅ[すべて] 商品分類[すべて] 収納区分[すべて] 洗い区分[すべて] 更新フラグ[すべて] プリセット[すべて]
 No.,コード,名称,フリガナ,価格1,価格2,価格3,価格4,価格5,価格6,会員価格1,会員価格2,会員価格3,会員価格4,会員価格5,会員価格6,特別会員価格1,特別会員価格2,特別会員価格3,特別会員価格4,特別会員価格5,特別会員価格6,商品分類ｺｰﾄﾞ,商品分類名称,収納区分ｺｰﾄﾞ,収納区分名称,洗い区分ｺｰﾄﾞ,洗い区分名称,タグ数,ランク,消費税区分,税コード,税名称,仕上日,特価対象,値下対象,プリセット,ポイント対象,顧客分析対象,ポイント倍率,ミックスマッチ対象,サイズ指定対象,ﾀｸﾞ0点数ｶｳﾝﾄ,コメント表示担当者,商品コメント,返却加算ポイント,サービス券1,サービス券2,サービス券3,クーポンID
1,"000001","ｴｺﾉﾐｰＹｼｬﾂ","ｴｺﾉﾐｰY",271,0,0,0,0,0,271,0,0,0,0,0,271,0,0,0,0,0,"01","ﾜｲｼｬﾂ","24","エコＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
2,"000002","ｴｺﾉﾐｰ ｶﾗｰY","ｴｺﾉﾐｰｶﾗｰY",271,0,0,0,0,0,271,0,0,0,0,0,271,0,0,0,0,0,"01","ﾜｲｼｬﾂ","24","エコＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
30,"000030","ｽﾀﾝﾀﾞｰﾄﾞＹｿﾌﾄ","ｽﾀﾝﾀﾞｰﾄﾞYｿﾌﾄ",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","26","スタＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
31,"000130","CP  Tｼｬﾂ","ﾃｨｰｼｬﾂ",293,0,0,375,703,1658,293,0,0,375,703,1658,293,0,0,375,703,1658,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"×","×","×","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
32,"000131","CP  ﾎﾟﾛｼｬﾂ","ﾎﾟﾛｼｬﾂ",293,0,0,375,703,1658,293,0,0,375,703,1658,293,0,0,375,703,1658,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"×","×","×","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
33,"000132","CP  ｵｰﾌﾟﾝｼｬﾂ","ｵｰﾌﾟﾝｼｬﾂ",293,0,0,375,703,1658,293,0,0,375,703,1658,293,0,0,375,703,1658,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"×","×","×","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
34,"000133","CP  ﾌﾞﾗｳｽ","ﾌﾞﾗｳｽ",293,0,0,375,703,1658,293,0,0,375,703,1658,293,0,0,375,703,1658,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"×","×","×","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
35,"000134","CP  ﾀﾝｸﾄｯﾌﾟ･ｷｬﾐ","ﾀﾝｸﾄｯﾌﾟ",293,0,0,375,703,1658,293,0,0,375,703,1658,293,0,0,375,703,1658,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"×","×","×","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
36,"000135","CP  作業服 上","ｻｷﾞｮｳﾌｸ",293,0,0,375,703,1658,293,0,0,375,703,1658,293,0,0,375,703,1658,"18","ﾕﾆﾌｫｰﾑ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"×","×","×","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
37,"000140","Tｼｬﾂ","ﾃｨｰｼｬﾂ          ",634,0,0,818,1555,3704,634,0,0,818,1555,3704,634,0,0,818,1555,3704,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","03","タタミ","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
38,"000144","ﾎﾟﾛｼｬﾂ","ﾎﾟﾛｼｬﾂ          ",634,0,0,818,1555,3704,634,0,0,818,1555,3704,634,0,0,818,1555,3704,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","03","タタミ","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
39,"000148","ｵｰﾌﾟﾝｼｬﾂ","ｵｰﾌﾟﾝｼｬﾂ        ",634,0,0,818,1555,3704,634,0,0,818,1555,3704,634,0,0,818,1555,3704,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
